file,algorithm,best,avg,time_ms
canada.tsp,SA,1.5758343573614411E7,1.6152084746931227E7,415500.1932
canada.tsp,TABU,3.567147289899247E7,3.645185271860726E7,478156.7362
djibouti.tsp,SA,15299.77281412355,16969.801918085388,4539.8017
djibouti.tsp,TABU,6659.431532931463,6699.471732322108,1403.8276
egypt.tsp,SA,7324801.251262254,7532484.121564324,639469.7786
egypt.tsp,TABU,6432833.616581466,6576018.191431683,734705.0892
ireland.tsp,SA,9369513.492887741,9532143.418509176,734337.5878
